Order No,Time from Pickup to Arrival
Order_No_19248,1285
Order_No_2699,2634
Order_No_21486,1706
Order_No_19336,2109
Order_No_20374,2413
Order_No_9830,1100
Order_No_17505,1191
Order_No_23802,2432
Order_No_12736,1310
Order_No_6400,1939
Order_No_25920,585
Order_No_24873,1992
Order_No_4511,1178
Order_No_13686,2172
Order_No_19317,1759
Order_No_2680,1503
Order_No_7097,1198
Order_No_22701,1075
Order_No_4881,1800
Order_No_6340,1391
Order_No_27915,1194
Order_No_768,1093
Order_No_28256,1533
Order_No_16940,2008
Order_No_4860,1359
Order_No_19055,908
Order_No_21272,1423
Order_No_2131,1331
Order_No_26647,638
Order_No_15717,1896
Order_No_7499,1430
Order_No_19277,1372
Order_No_21254,3177
Order_No_15403,1365
Order_No_3402,2466
Order_No_20766,576
Order_No_14859,1100
Order_No_7290,646
Order_No_15168,1642
Order_No_13427,1196
Order_No_20894,1776
Order_No_10827,1711
Order_No_9447,1615
Order_No_15217,2699
Order_No_2361,1472
Order_No_12210,1642
Order_No_15207,2391
Order_No_27745,2150
Order_No_18450,1299
Order_No_21282,1396
Order_No_2842,850
Order_No_22280,1684
Order_No_15535,1960
Order_No_382,938
Order_No_21070,1417
Order_No_2603,2495
Order_No_16558,793
Order_No_24712,925
Order_No_26578,1991
Order_No_21638,1338
Order_No_22046,980
Order_No_23183,1938
Order_No_1786,2040
Order_No_17033,1113
Order_No_6084,903
Order_No_5317,1223
Order_No_15332,983
Order_No_1199,1632
Order_No_21864,2450
Order_No_611,2438
Order_No_18430,2097
Order_No_8474,2022
Order_No_6339,1204
Order_No_14947,756
Order_No_16077,1904
Order_No_21778,763
Order_No_19143,1356
Order_No_25000,2418
Order_No_340,1709
Order_No_8955,1599
Order_No_6197,1990
Order_No_1974,2809
Order_No_22457,2070
Order_No_24241,2301
Order_No_23433,2775
Order_No_21373,1089
Order_No_15311,954
Order_No_12748,1300
Order_No_11668,1598
Order_No_9978,1432
Order_No_17127,639
Order_No_14906,2102
Order_No_19354,917
Order_No_15209,634
Order_No_12025,1053
Order_No_26437,1242
Order_No_4137,1018
Order_No_12169,1102
Order_No_104,1513
Order_No_2403,784
Order_No_8736,1111
Order_No_15145,957
Order_No_25380,1371
Order_No_7545,2437
Order_No_14573,1815
Order_No_24305,1135
Order_No_23769,1530
Order_No_23205,2580
Order_No_20815,1236
Order_No_8308,1251
Order_No_20121,1158
Order_No_20598,1889
Order_No_2574,1728
Order_No_1601,1387
Order_No_19084,1139
Order_No_23351,1144
Order_No_17426,1870
Order_No_3798,1080
Order_No_20354,2497
Order_No_24096,1777
Order_No_21215,1419
Order_No_16573,953
Order_No_6731,2237
Order_No_3166,2409
Order_No_18679,1826
Order_No_23900,2551
Order_No_18436,1675
Order_No_1450,613
Order_No_9797,1895
Order_No_21124,1775
Order_No_27808,1191
Order_No_15877,989
Order_No_14360,1197
Order_No_6247,847
Order_No_1823,1918
Order_No_8264,1813
Order_No_4106,1892
Order_No_2288,1496
Order_No_26162,848
Order_No_16072,1734
Order_No_24205,833
Order_No_3870,989
Order_No_7297,2053
Order_No_26757,1352
Order_No_27741,680
Order_No_15767,1351
Order_No_11781,1903
Order_No_8813,1030
Order_No_19702,2149
Order_No_6457,1493
Order_No_6180,1687
Order_No_9305,1584
Order_No_16992,1617
Order_No_5873,1391
Order_No_14553,1305
Order_No_4007,3154
Order_No_13713,1391
Order_No_20690,1051
Order_No_27131,1762
Order_No_17404,1675
Order_No_1121,1679
Order_No_10915,1643
Order_No_7190,1840
Order_No_26054,697
Order_No_19459,1854
Order_No_11439,1850
Order_No_24422,1456
Order_No_10627,2773
Order_No_9507,1866
Order_No_9063,2306
Order_No_15612,770
Order_No_20974,1501
Order_No_7106,1588
Order_No_21900,1007
Order_No_20501,2191
Order_No_10649,1703
Order_No_14031,597
Order_No_26207,1547
Order_No_24879,1131
Order_No_26211,1914
Order_No_15163,1528
Order_No_8174,1668
Order_No_10670,1432
Order_No_1480,1302
Order_No_7556,2086
Order_No_21894,1859
Order_No_16903,1232
Order_No_20181,1249
Order_No_7301,808
Order_No_4814,1007
Order_No_25817,1656
Order_No_5155,1034
Order_No_5658,1840
Order_No_7421,625
Order_No_18730,2298
Order_No_20915,878
Order_No_11317,850
Order_No_1571,1359
Order_No_13963,1425
Order_No_25600,2603
Order_No_653,2195
Order_No_21929,1924
Order_No_10722,1562
Order_No_23724,1853
Order_No_16625,1407
Order_No_10125,1153
Order_No_20308,1454
Order_No_4518,1266
Order_No_3406,809
Order_No_605,1898
Order_No_27507,1350
Order_No_9352,2097
Order_No_12374,1680
Order_No_21981,688
Order_No_23293,592
Order_No_10595,1734
Order_No_14569,546
Order_No_22459,1689
Order_No_18244,1166
Order_No_22006,897
Order_No_16555,1018
Order_No_15352,1379
Order_No_6045,656
Order_No_5785,873
Order_No_25261,1269
Order_No_16004,1682
Order_No_4666,1372
Order_No_6848,1315
Order_No_16999,1680
Order_No_4454,1522
Order_No_19867,1249
Order_No_8525,708
Order_No_14830,969
Order_No_5166,1575
Order_No_8600,2152
Order_No_1424,649
Order_No_28124,1762
Order_No_202,1934
Order_No_21239,685
Order_No_28220,3348
Order_No_20883,1242
Order_No_25796,617
Order_No_17399,1233
Order_No_6474,1734
Order_No_25744,1300
Order_No_28183,1637
Order_No_14439,1452
Order_No_9133,1456
Order_No_113,635
Order_No_7040,841
Order_No_18205,1418
