Order No,Time from Pickup to Arrival
Order_No_19248,1462
Order_No_2699,2722
Order_No_21486,1708
Order_No_19336,2114
Order_No_20374,2461
Order_No_9830,1369
Order_No_17505,1422
Order_No_23802,2480
Order_No_12736,1213
Order_No_6400,2025
Order_No_25920,657
Order_No_24873,1843
Order_No_4511,1386
Order_No_13686,2440
Order_No_19317,1917
Order_No_2680,1542
Order_No_7097,1135
Order_No_22701,1279
Order_No_4881,1577
Order_No_6340,1223
Order_No_27915,1075
Order_No_768,1087
Order_No_28256,1533
Order_No_16940,2094
Order_No_4860,1307
Order_No_19055,1154
Order_No_21272,1320
Order_No_2131,1246
Order_No_26647,682
Order_No_15717,1937
Order_No_7499,1269
Order_No_19277,1721
Order_No_21254,3792
Order_No_15403,1264
Order_No_3402,2355
Order_No_20766,604
Order_No_14859,1328
Order_No_7290,1025
Order_No_15168,1580
Order_No_13427,1265
Order_No_20894,1862
Order_No_10827,1558
Order_No_9447,1597
Order_No_15217,2466
Order_No_2361,1604
Order_No_12210,1725
Order_No_15207,2492
Order_No_27745,2251
Order_No_18450,1165
Order_No_21282,1523
Order_No_2842,945
Order_No_22280,1827
Order_No_15535,1770
Order_No_382,1189
Order_No_21070,1424
Order_No_2603,2736
Order_No_16558,1052
Order_No_24712,1232
Order_No_26578,2190
Order_No_21638,1045
Order_No_22046,916
Order_No_23183,1756
Order_No_1786,2269
Order_No_17033,1235
Order_No_6084,1321
Order_No_5317,1644
Order_No_15332,1084
Order_No_1199,1326
Order_No_21864,2518
Order_No_611,2410
Order_No_18430,2140
Order_No_8474,2087
Order_No_6339,1074
Order_No_14947,736
Order_No_16077,2066
Order_No_21778,585
Order_No_19143,1412
Order_No_25000,2468
Order_No_340,1659
Order_No_8955,1745
Order_No_6197,2098
Order_No_1974,3003
Order_No_22457,2085
Order_No_24241,2253
Order_No_23433,3034
Order_No_21373,1134
Order_No_15311,1190
Order_No_12748,1371
Order_No_11668,1861
Order_No_9978,1687
Order_No_17127,555
Order_No_14906,2830
Order_No_19354,1015
Order_No_15209,633
Order_No_12025,1148
Order_No_26437,1379
Order_No_4137,1004
Order_No_12169,1219
Order_No_104,1072
Order_No_2403,901
Order_No_8736,1054
Order_No_15145,1085
Order_No_25380,1471
Order_No_7545,2590
Order_No_14573,2407
Order_No_24305,1352
Order_No_23769,1405
Order_No_23205,2308
Order_No_20815,1109
Order_No_8308,1094
Order_No_20121,1087
Order_No_20598,1832
Order_No_2574,1826
Order_No_1601,1280
Order_No_19084,1110
Order_No_23351,892
Order_No_17426,1807
Order_No_3798,1342
Order_No_20354,2491
Order_No_24096,1683
Order_No_21215,1650
Order_No_16573,1204
Order_No_6731,2128
Order_No_3166,2513
Order_No_18679,1992
Order_No_23900,2622
Order_No_18436,1383
Order_No_1450,747
Order_No_9797,1780
Order_No_21124,1463
Order_No_27808,1556
Order_No_15877,970
Order_No_14360,998
Order_No_6247,1027
Order_No_1823,1731
Order_No_8264,1746
Order_No_4106,1828
Order_No_2288,1557
Order_No_26162,965
Order_No_16072,1512
Order_No_24205,511
Order_No_3870,1045
Order_No_7297,1959
Order_No_26757,1594
Order_No_27741,1001
Order_No_15767,1525
Order_No_11781,1623
Order_No_8813,863
Order_No_19702,1823
Order_No_6457,1512
Order_No_6180,1509
Order_No_9305,1448
Order_No_16992,1431
Order_No_5873,1353
Order_No_14553,1165
Order_No_4007,3043
Order_No_13713,1369
Order_No_20690,804
Order_No_27131,1497
Order_No_17404,1669
Order_No_1121,1395
Order_No_10915,1620
Order_No_7190,1788
Order_No_26054,682
Order_No_19459,1525
Order_No_11439,1863
Order_No_24422,1370
Order_No_10627,2865
Order_No_9507,1664
Order_No_9063,2223
Order_No_15612,748
Order_No_20974,1564
Order_No_7106,1533
Order_No_21900,1225
Order_No_20501,2143
Order_No_10649,1615
Order_No_14031,799
Order_No_26207,1454
Order_No_24879,1212
Order_No_26211,1972
Order_No_15163,1900
Order_No_8174,1692
Order_No_10670,1366
Order_No_1480,1324
Order_No_7556,1876
Order_No_21894,1799
Order_No_16903,1524
Order_No_20181,1298
Order_No_7301,1078
Order_No_4814,1085
Order_No_25817,1568
Order_No_5155,1217
Order_No_5658,1828
Order_No_7421,470
Order_No_18730,2159
Order_No_20915,806
Order_No_11317,578
Order_No_1571,1381
Order_No_13963,1149
Order_No_25600,2562
Order_No_653,2362
Order_No_21929,1881
Order_No_10722,1429
Order_No_23724,1799
Order_No_16625,1193
Order_No_10125,1146
Order_No_20308,1346
Order_No_4518,1265
Order_No_3406,896
Order_No_605,1563
Order_No_27507,1324
Order_No_9352,1859
Order_No_12374,1380
Order_No_21981,844
Order_No_23293,528
Order_No_10595,1804
Order_No_14569,357
Order_No_22459,1430
Order_No_18244,988
Order_No_22006,947
Order_No_16555,882
Order_No_15352,1187
Order_No_6045,550
Order_No_5785,1186
Order_No_25261,1204
Order_No_16004,1439
Order_No_4666,1028
Order_No_6848,1243
Order_No_16999,1787
Order_No_4454,1478
Order_No_19867,1171
Order_No_8525,836
Order_No_14830,894
Order_No_5166,1325
Order_No_8600,1818
Order_No_1424,940
Order_No_28124,1838
Order_No_202,1885
Order_No_21239,666
Order_No_28220,2318
Order_No_20883,1148
Order_No_25796,649
Order_No_17399,1137
Order_No_6474,1849
Order_No_25744,1306
Order_No_28183,1429
Order_No_14439,1390
Order_No_9133,1354
Order_No_113,799
Order_No_7040,1034
Order_No_18205,1495
Order_No_26927,895
Order_No_13238,1150
Order_No_22130,2121
Order_No_21276,1023
Order_No_1805,904
Order_No_22296,1305
Order_No_3341,1214
Order_No_25656,920
Order_No_14258,1163
Order_No_16747,2721
Order_No_17893,2499
Order_No_8127,1287
Order_No_22518,1373
Order_No_23458,2691
Order_No_6376,1542
Order_No_13274,1929
Order_No_15872,1247
Order_No_26843,1394
Order_No_11606,1108
Order_No_17119,1583
Order_No_2920,2384
Order_No_26188,1506
Order_No_6170,1812
Order_No_3297,1175
Order_No_14832,1219
Order_No_3262,1908
Order_No_26825,2159
Order_No_16348,1026
Order_No_19181,631
Order_No_9628,1675
Order_No_12321,751
Order_No_5373,1430
Order_No_11408,1551
Order_No_17595,1559
Order_No_6673,988
Order_No_24820,1648
Order_No_27980,1039
Order_No_22,1969
Order_No_12144,1530
Order_No_27423,1899
Order_No_27750,713
Order_No_9598,2328
Order_No_24154,1331
Order_No_8101,1653
Order_No_19215,1108
Order_No_13735,994
Order_No_21382,1538
Order_No_14598,1404
Order_No_18882,2001
Order_No_22210,1324
Order_No_17315,1233
Order_No_15936,790
Order_No_20424,1278
Order_No_8544,1126
Order_No_1945,1047
Order_No_15723,1573
Order_No_14246,701
Order_No_17804,853
Order_No_6307,1404
Order_No_21140,1443
Order_No_27783,1324
Order_No_16698,1308
Order_No_4055,2291
Order_No_24360,2236
Order_No_23304,1708
Order_No_18831,692
Order_No_8221,1324
Order_No_17708,788
Order_No_8804,1202
Order_No_1287,1297
Order_No_8582,1064
Order_No_22982,1502
Order_No_5673,1334
Order_No_265,1378
Order_No_10919,898
Order_No_25941,971
Order_No_10818,2099
Order_No_7955,1236
Order_No_21808,1057
Order_No_15316,1170
Order_No_4569,1199
Order_No_26467,2121
Order_No_18042,1287
Order_No_1690,805
Order_No_23240,1552
Order_No_6518,1878
Order_No_15554,1511
Order_No_10496,1143
Order_No_14374,1437
Order_No_26952,1522
Order_No_4877,1043
Order_No_13214,1428
Order_No_23220,1448
Order_No_8668,1434
Order_No_17800,1349
Order_No_19852,1552
Order_No_27728,1142
Order_No_4520,1565
Order_No_22070,1604
Order_No_8558,1730
Order_No_14907,1246
Order_No_18319,1379
Order_No_16097,2090
Order_No_2417,1167
Order_No_11575,886
Order_No_15,1568
Order_No_4679,891
Order_No_26060,1263
Order_No_15503,231
Order_No_7661,1289
Order_No_1830,1612
Order_No_21557,1053
Order_No_13473,514
Order_No_13008,4624
Order_No_18509,1318
Order_No_3829,576
Order_No_6065,1328
Order_No_14799,2964
Order_No_1776,615
Order_No_12463,1443
Order_No_6604,2402
Order_No_1799,2168
Order_No_10157,1962
Order_No_9766,625
Order_No_5814,1185
Order_No_14030,1811
Order_No_13176,607
Order_No_4656,1265
Order_No_5529,1924
Order_No_7690,657
Order_No_19956,2103
Order_No_22252,953
Order_No_10533,1315
Order_No_8881,3255
Order_No_10182,1266
Order_No_13944,1241
Order_No_6048,1423
Order_No_12388,845
Order_No_25071,1399
Order_No_13153,1363
Order_No_25366,1548
Order_No_7696,1361
Order_No_2007,2568
Order_No_19309,1397
Order_No_19227,1147
Order_No_21284,1819
Order_No_23202,1350
Order_No_8939,1780
Order_No_19778,780
Order_No_23557,743
Order_No_4701,1114
Order_No_7447,582
Order_No_27215,1108
Order_No_26093,2271
Order_No_20488,1939
Order_No_9560,991
Order_No_26678,2613
Order_No_20208,2479
Order_No_21879,1846
Order_No_9237,2023
Order_No_13651,929
Order_No_5812,2088
Order_No_10902,1691
Order_No_6327,1743
Order_No_1435,1379
Order_No_21248,2776
Order_No_24214,1160
Order_No_22384,1624
Order_No_17635,2730
Order_No_8977,753
Order_No_8944,1300
Order_No_21206,1318
Order_No_24952,1881
Order_No_24037,1109
Order_No_5344,984
Order_No_5735,344
Order_No_9938,1000
Order_No_9572,2381
Order_No_17057,1675
Order_No_2630,2198
Order_No_328,1749
Order_No_26349,1285
Order_No_119,1903
Order_No_25779,1284
Order_No_16033,1518
Order_No_16640,1501
Order_No_2440,1103
Order_No_1930,649
Order_No_26105,841
Order_No_20741,1796
Order_No_20896,1621
Order_No_11100,620
Order_No_28180,2192
Order_No_16083,1241
Order_No_8184,1201
Order_No_14011,1210
Order_No_22660,1421
Order_No_2501,1434
Order_No_23934,1774
Order_No_13179,788
Order_No_25191,963
Order_No_16381,1178
Order_No_15052,1092
Order_No_10144,1882
Order_No_4309,973
Order_No_3631,1242
Order_No_3102,618
Order_No_14330,1393
Order_No_8375,870
Order_No_3804,1522
Order_No_13817,635
Order_No_73,760
Order_No_13329,599
Order_No_27514,2351
Order_No_15161,3030
Order_No_10310,2103
Order_No_10814,1084
Order_No_21397,1291
Order_No_1033,650
Order_No_14857,1306
Order_No_5784,2240
Order_No_7041,1897
Order_No_976,880
Order_No_1323,1887
Order_No_24269,1058
Order_No_8145,589
Order_No_18898,1115
Order_No_2353,1823
Order_No_20438,1369
Order_No_21318,349
Order_No_432,3158
Order_No_28265,1824
Order_No_17853,1226
Order_No_3888,1855
Order_No_19004,949
Order_No_3751,2039
Order_No_24072,1592
Order_No_6192,2685
Order_No_23991,1737
Order_No_9669,1744
Order_No_9159,1491
Order_No_3469,484
Order_No_8175,997
Order_No_19400,2194
Order_No_19301,956
Order_No_7079,2157
Order_No_6179,1531
Order_No_7898,1589
Order_No_8398,1556
Order_No_26262,1112
Order_No_11181,1779
Order_No_11359,1416
Order_No_27119,1488
Order_No_22979,742
Order_No_20357,920
Order_No_11599,1699
Order_No_27419,2192
Order_No_28027,1618
Order_No_9240,1239
Order_No_10621,2174
Order_No_9573,602
Order_No_16641,2010
Order_No_17532,1978
Order_No_27475,1547
Order_No_17860,666
Order_No_21510,1301
Order_No_20057,567
Order_No_5742,2945
Order_No_12926,994
Order_No_1100,1366
Order_No_16665,1307
Order_No_3239,255
Order_No_6527,2049
Order_No_27436,2674
Order_No_25724,1440
Order_No_18565,1501
Order_No_13991,1491
Order_No_10370,756
Order_No_20802,2186
Order_No_7216,1207
Order_No_20243,1137
Order_No_963,2111
Order_No_7077,1112
Order_No_15921,1567
Order_No_14182,2655
Order_No_2513,1696
Order_No_11162,1933
Order_No_10498,962
Order_No_27109,1701
Order_No_27510,2101
Order_No_28242,2126
Order_No_5402,1220
Order_No_16501,473
Order_No_25394,1740
Order_No_12173,1227
Order_No_3494,1148
Order_No_7796,1129
Order_No_14650,994
Order_No_14378,877
Order_No_9010,1046
Order_No_6513,1042
Order_No_5698,541
Order_No_17470,1259
Order_No_17935,1558
Order_No_14047,941
Order_No_6487,950
Order_No_13205,787
Order_No_12730,828
Order_No_23447,947
Order_No_21544,1987
Order_No_19834,580
Order_No_13595,1802
Order_No_10952,1454
Order_No_16061,1688
Order_No_11082,1169
Order_No_9973,1629
Order_No_24129,1352
Order_No_17456,724
Order_No_13130,1367
Order_No_17508,1106
Order_No_24719,1096
Order_No_1122,1190
Order_No_13598,1386
Order_No_15418,2140
Order_No_12370,2072
Order_No_9588,1116
Order_No_15534,1465
Order_No_11299,2780
Order_No_17032,580
Order_No_2086,1596
Order_No_662,652
Order_No_18016,2934
Order_No_20168,2669
Order_No_24567,559
Order_No_6364,1555
Order_No_9163,1861
Order_No_21269,1475
Order_No_23463,967
Order_No_12415,1505
Order_No_19530,707
Order_No_15036,640
Order_No_8329,1697
Order_No_17871,855
Order_No_15812,1855
Order_No_1417,673
Order_No_557,1547
Order_No_2749,1101
Order_No_11273,1374
Order_No_12502,1635
Order_No_16703,1481
Order_No_11533,1005
Order_No_17269,1267
Order_No_1906,1936
Order_No_24525,1368
Order_No_20167,1132
Order_No_10048,904
Order_No_19620,534
Order_No_28249,1529
Order_No_2180,1128
Order_No_11898,1254
Order_No_4533,1848
Order_No_3644,1068
Order_No_554,1783
Order_No_10375,1125
Order_No_20558,985
Order_No_2982,1587
Order_No_22670,1907
Order_No_24772,642
Order_No_20708,1075
Order_No_10470,1952
Order_No_13917,1542
Order_No_25392,1209
Order_No_10153,1164
Order_No_16467,1245
Order_No_5539,971
Order_No_9069,2480
Order_No_4233,1115
Order_No_9977,1386
Order_No_8910,1775
Order_No_22925,2111
Order_No_3422,1447
Order_No_16377,1948
Order_No_4750,1142
Order_No_3565,2949
Order_No_10981,1101
Order_No_8065,1282
Order_No_27736,1148
Order_No_18818,1806
Order_No_24447,1310
Order_No_7565,813
Order_No_11098,1140
Order_No_16378,931
Order_No_22111,1619
Order_No_24813,2764
Order_No_18073,1583
Order_No_7393,2047
Order_No_3604,2212
Order_No_7722,1237
Order_No_6473,1100
Order_No_16328,1182
Order_No_6951,1187
Order_No_27115,2141
Order_No_4833,1464
Order_No_26220,767
Order_No_19347,1186
Order_No_23754,1264
Order_No_26312,1141
Order_No_6258,467
Order_No_8187,948
Order_No_24254,557
Order_No_23923,623
Order_No_18348,1005
Order_No_6143,556
Order_No_11761,1159
Order_No_25890,443
Order_No_12525,534
Order_No_17819,715
Order_No_7530,743
Order_No_3087,1077
Order_No_16681,517
Order_No_22705,825
Order_No_12330,1083
Order_No_9936,901
Order_No_14792,498
Order_No_27480,1899
Order_No_12371,1414
Order_No_23841,473
Order_No_5723,817
Order_No_7107,2500
Order_No_8354,1182
Order_No_16616,842
Order_No_13299,1278
Order_No_9846,1114
Order_No_23302,2234
Order_No_21129,1772
