Personal or Business,Day of Month,Placement - Time,Confirmation - Time,Arrival at Pickup - Time,Pickup - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,No_Of_Orders,Age,Average_Rating,No_of_Ratings,Platform Type 1,Platform Type 2,Platform Type 3,Platform Type 4,Bearing,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,9,34546.0,34810.0,36287.0,37650.0,4,20.4,-1.3177546999999998,36.8303703,-1.3004062,36.829741,1637,1309,13.8,549,0,0,1,0,357.9230965922493,0,0,0,0,1,0,0
1,18,56477.0,56490.0,58036.0,58417.0,20,24.5,-1.326774,36.78780689999999,-1.3562374,36.904295399999995,1637,1309,13.8,549,0,0,1,0,104.19921188059493,0,0,0,0,1,0,0
0,31,46301.0,47569.0,48002.0,48788.0,6,24.7,-1.2551895,36.7822034,-1.273412,36.8182057,1637,1309,13.8,549,0,0,1,0,116.8521887794434,0,0,0,0,1,0,0
1,2,25930.0,25949.0,27324.0,27526.0,18,15.2,-1.2903149999999999,36.75737720000001,-1.2235201,36.80206079999999,1637,1309,13.8,549,0,0,1,0,33.77534716674029,0,1,0,0,0,0,0
1,22,38458.0,38544.0,39360.0,39580.0,7,19.2,-1.2735236,36.7992196,-1.3004311000000002,36.7524273,1637,1309,13.8,549,0,1,0,0,240.09255345157862,0,1,0,0,0,0,0
0,29,44083.0,44151.0,44514.0,44710.0,26,23.2587952236677,-1.2674273999999999,36.787082700000006,-1.34364,36.8925345,1637,1309,13.8,549,0,0,1,0,125.86481569429634,0,0,1,0,0,0,0
0,2,32922.0,32937.0,33265.0,34667.0,8,15.2,-1.2268871000000001,36.8073946,-1.2591018999999999,36.800577000000004,1637,1309,13.8,549,1,0,0,0,191.94636158929544,0,1,0,0,0,0,0
1,19,58376.0,58579.0,59434.0,59961.0,7,24.5,-1.2562796999999999,36.8075858,-1.2981352,36.8213822,1637,1309,13.8,549,1,0,0,0,161.76114439357548,0,0,0,0,1,0,0
1,28,54190.0,54278.0,55245.0,55946.0,11,24.3,-1.2795197,36.8168287,-1.328128,36.8719,1637,1309,13.8,549,1,0,0,0,131.44099430019588,1,0,0,0,0,0,0
0,14,52978.0,53077.0,54300.0,55739.0,12,27.5,-1.2551895,36.7822034,-1.2613229,36.8657183,1637,1309,13.8,549,0,0,1,0,94.20223209245864,0,0,0,1,0,0,0
